,numero_empleado,desvinculado,genero,edad,año_nacimiento,estado_civil,nivel_estudios,campo_estudios,frecuencia_viaje,distancia_domicilio,teletrabajo,tipo_jornada,formaciones_ultimo_año,trabajos_anteriores,años_en_activo,antigüedad_empresa,años_ultimo_ascenso,años_mismo_responsable,años_puesto_actual,departamento,rol_y_departamento,categoria,puesto,horas_extras,evaluacion_desempeño,tarifa_hora,tarifa_diaria,tarifa_mensual,ingreso_mensual,%_incremento_salarial,recibe_mismo_salario,acceso_acciones_empresa,nivel_compromiso,nivel_satisfaccion_global,nivel_satisfaccion_trabajo,nivel_ satisfaccion_relaciones,nivel_satisfaccion_conciliacion
441,"1619,0",No,0,27,1996,Divorced,3,,,57.94,Yes,,3,1,"7,0",7,0,7,,research & development,laboratory technician  -  research & development,1,laboratory technician,No,"3,0",,1302.0,16290,4066.0,11,4066.0,2,2,36,1,1,"3,0"
442,"1635,0",No,1,45,1978,Divorced,2,,travel_rarely,3.22,1,,3,1,"10,0",10,3,9,,,,2,manufacturing director,,"3,0",59.0,1329.0,5388,,19,,2,2,4,4,1,"3,0"
443,"1642,0",No,0,44,1979,Married,5,,,1.61,True,,3,4,"14,0",10,0,2,,,,2,human resources,Yes,"3,0",37.0,602.0,10503,,11,,0,3,1,4,3,"3,0"
444,"1653,0",No,0,25,1998,Divorced,1,Life Sciences,,3.22,False,,6,1,"7,0",7,0,7,,,,2,manufacturing director,,"3,0",77.0,772.0,4973,5206.0,17,5206.0,2,4,4,3,3,"3,0"
445,,No,0,49,1974,Single,3,,,1.61,True,"80,0",2,4,"23,0",8,0,0,,,,4,manager,,"3,0",36.0,809.0,22384,,14,,0,3,3,3,1,"3,0"
446,"1691,0",Yes,1,48,1975,,2,,travel_frequently,11.27,0,"80,0",3,2,"19,0",9,7,7,,,,1,sales representative,,,95.0,,11740,2655.0,11,2655.0,2,3,4,3,3,"3,0"
447,"1693,0",No,0,26,1997,,3,Medical,,11.27,1,"80,0",5,1,"7,0",7,5,7,,,,1,laboratory technician,No,"4,0",76.0,786.0,11925,2570.0,20,2570.0,0,3,4,4,3,"3,0"
448,"1703,0",No,1,44,1979,,3,Life Sciences,travel_rarely,3.22,1,,2,1,,8,6,7,,,,3,healthcare representative,,,96.0,921.0,14810,,19,,1,4,3,4,2,"3,0"
449,,No,1,36,1987,Single,4,,,3.22,Yes,,2,3,"17,0",13,6,7,,,,2,sales representative,,,51.0,530.0,7439,4502.0,15,4502.0,0,3,3,4,3,"2,0"
450,"1727,0",No,0,46,1977,Single,4,,,20.92,True,,3,6,"19,0",10,0,9,,research & development,healthcare representative  -  research & development,2,healthcare representative,No,"3,0",34.0,717.0,9697,,14,,0,3,3,2,4,"3,0"
451,"1728,0",No,0,35,1988,Married,4,Life Sciences,,43.45,Yes,"80,0",3,2,"17,0",7,0,7,,,,2,manufacturing director,,"3,0",49.0,1370.0,5151,,16,,1,3,4,3,2,"3,0"
452,"1745,0",No,1,30,1993,,4,,travel_frequently,3.22,False,"80,0",2,0,"10,0",9,0,7,,,,1,research scientist,,"3,0",78.0,1312.0,26427,4968.0,16,4968.0,0,2,4,1,4,
453,"1754,0",No,0,30,1993,,2,Marketing,,24.14,1,"80,0",2,2,,7,1,7,,,,3,sales executive,No,"3,0",94.0,979.0,3088,,11,,1,2,3,1,1,"3,0"
454,"1756,0",No,1,33,1990,,3,Marketing,non-travel,3.22,True,,2,8,"13,0",11,1,7,,,,2,sales executive,No,"3,0",62.0,1283.0,10697,5147.0,15,5147.0,0,3,4,2,4,"2,0"
455,"1764,0",No,0,32,1991,Single,4,,,8.05,1,,3,2,"12,0",7,0,7,,,,1,research scientist,No,"3,0",65.0,953.0,17674,2718.0,14,2718.0,0,3,2,2,2,"3,0"
456,"1778,0",No,0,43,1980,,3,Life Sciences,travel_rarely,3.22,False,"80,0",5,0,,9,1,8,,,,1,human resources,No,"3,0",97.0,244.0,5033,3539.0,13,3539.0,0,3,2,4,2,"3,0"
457,,No,1,31,1992,,4,Marketing,travel_rarely,46.67,1,,3,1,,12,5,7,,,,2,sales executive,,"3,0",91.0,196.0,13402,5468.0,14,5468.0,2,2,1,4,1,"3,0"
458,"1797,0",Yes,0,35,1988,,3,,,43.45,False,"80,0",2,1,,10,7,7,,,,2,sales executive,,"3,0",84.0,303.0,13492,5813.0,18,5813.0,0,3,3,4,4,"3,0"
459,"1804,0",No,0,35,1988,Divorced,2,Medical,non-travel,3.22,0,,6,2,"15,0",7,1,7,,research & development,manufacturing director  -  research & development,2,manufacturing director,No,"3,0",90.0,1180.0,24442,,14,,1,3,2,4,3,"3,0"
460,"1816,0",No,1,30,1993,Single,3,Medical,,16.09,False,,3,9,"9,0",7,0,2,,,,3,manufacturing director,No,"3,0",64.0,1092.0,2739,9667.0,14,9667.0,0,3,1,3,2,"3,0"
461,"1821,0",Yes,1,46,1977,Married,2,Medical,travel_rarely,30.58,0,,2,4,"13,0",9,3,7,"7,0",,,2,healthcare representative,No,"4,0",66.0,261.0,10842,,22,,1,3,4,2,4,"4,0"
462,,No,1,45,1978,Married,4,,non-travel,3.22,False,,3,4,"10,0",8,5,7,,,,2,sales executive,,"4,0",67.0,589.0,19665,5154.0,22,5154.0,2,3,3,3,2,"4,0"
463,"1849,0",No,0,43,1980,Married,4,Life Sciences,travel_frequently,3.22,0,,5,1,"7,0",7,7,7,,,,2,sales executive,,"4,0",92.0,1422.0,19246,5675.0,20,5675.0,1,3,1,4,3,"3,0"
464,"1869,0",Yes,1,46,1977,,3,Life Sciences,,16.09,1,"80,0",2,5,"14,0",8,0,7,,,,3,sales executive,,"4,0",64.0,,14011,7314.0,21,7314.0,3,3,3,2,3,"3,0"
465,,No,0,40,1983,,4,,travel_rarely,1.61,True,,3,2,"22,0",19,11,16,,research & development,manager  -  research & development,4,manager,,"3,0",98.0,1137.0,18991,,11,,1,3,1,1,1,
466,"1898,0",No,1,27,1996,Single,2,,travel_rarely,3.22,False,,5,0,"9,0",8,0,7,,sales,sales executive  -  sales,2,sales executive,No,"3,0",89.0,511.0,26997,,14,,0,4,1,3,2,"2,0"
467,"1911,0",No,0,42,1981,Married,3,Medical,,9.66,1,"80,0",3,9,"18,0",13,5,7,,,,3,research director,No,"3,0",83.0,1396.0,14842,,13,,1,3,3,1,2,"4,0"
468,,No,0,26,1997,Married,3,Other,travel_frequently,9.66,True,,3,0,"8,0",7,7,7,,,,1,laboratory technician,No,"3,0",61.0,1096.0,7102,,18,,1,4,3,4,1,"3,0"
469,"1927,0",No,0,28,1995,Married,2,Life Sciences,travel_frequently,1.61,True,,2,1,"7,0",7,0,7,,,,2,sales executive,,"3,0",42.0,,19255,,12,,1,2,3,4,3,"3,0"
470,"1934,0",No,0,47,1976,Married,4,,,22.53,0,"80,0",4,8,,8,1,7,,,,2,research scientist,,"3,0",64.0,1169.0,2125,,18,,1,3,3,2,3,"4,0"
471,"1951,0",No,0,34,1989,Divorced,4,Medical,travel_rarely,20.92,1,,2,1,"9,0",8,1,1,,,,3,sales executive,No,"3,0",39.0,1239.0,22914,,18,,1,3,4,3,3,"2,0"
472,"1952,0",No,0,26,1997,Single,3,Medical,,1.61,1,,6,0,"8,0",7,7,6,,research & development,laboratory technician  -  research & development,1,laboratory technician,No,"3,0",95.0,157.0,20006,,13,,0,3,3,1,4,
473,"1965,0",No,0,27,1996,,3,,travel_rarely,14.48,0,,5,1,,7,0,7,,,,2,sales executive,,"3,0",44.0,954.0,5099,,14,,0,3,4,4,1,
474,"1967,0",Yes,0,31,1992,,4,Marketing,travel_frequently,41.84,Yes,,4,1,"10,0",10,0,8,,sales,sales executive  -  sales,2,sales executive,Yes,"3,0",63.0,754.0,21075,,11,,0,3,1,4,3,"3,0"
475,,No,0,33,1990,Divorced,2,Life Sciences,travel_frequently,11.27,Yes,,2,1,"9,0",9,2,8,,,,2,healthcare representative,,,,1303.0,18079,,20,,3,3,4,3,3,"3,0"
476,"1979,0",No,1,31,1992,Married,3,,,16.09,1,,2,4,"13,0",11,4,8,,,,3,research director,No,"4,0",40.0,697.0,26862,,20,,1,3,3,3,3,"4,0"
477,"2008,0",No,0,35,1988,,4,Medical,,14.48,1,,5,1,"10,0",10,0,8,,,,2,research scientist,No,"3,0",48.0,1395.0,18698,5098.0,19,5098.0,0,3,2,3,2,"3,0"
478,"2009,0",No,1,33,1990,Married,2,,travel_rarely,24.14,Yes,,6,0,,9,8,1,,,,2,healthcare representative,Yes,,95.0,501.0,21653,,13,,1,3,2,4,1,"3,0"
479,"2014,0",No,0,39,1984,Single,1,Life Sciences,travel_rarely,38.62,False,,2,7,,7,1,7,,,,2,research scientist,No,,52.0,116.0,5340,,13,,0,3,1,4,1,"3,0"
480,,No,1,36,1987,Marreid,3,,travel_rarely,74.03,Yes,,2,0,"10,0",9,3,4,,,,3,sales executive,No,"3,0",94.0,557.0,12695,,19,,2,2,46,4,3,"3,0"
481,"2034,0",No,1,41,1982,Married,4,Life Sciences,travel_rarely,45.06,Yes,,3,0,"21,0",20,0,10,,,,4,manufacturing director,No,,60.0,582.0,5640,13570.0,23,13570.0,1,2,1,2,3,"3,0"
482,"2035,0",No,1,34,1989,Married,3,Marketing,,45.06,False,,2,1,"8,0",8,1,7,,sales,sales executive  -  sales,2,sales executive,No,"4,0",95.0,704.0,8978,6712.0,21,6712.0,2,2,4,3,4,"3,0"
483,,No,1,38,1985,Married,2,,travel_rarely,16.09,1,,1,1,"10,0",10,1,9,,,,2,sales executive,No,"3,0",100.0,,5982,,11,,1,3,1,4,3,"3,0"
484,"2062,0",No,0,39,1984,,1,,travel_rarely,9.66,1,"80,0",5,4,,7,1,7,,,,3,healthcare representative,,"3,0",42.0,613.0,21457,9991.0,15,9991.0,1,2,4,1,1,"3,0"
485,"28,0",No,1,34,1989,Single,4,,travel_rarely,11.27,0,,4,0,,12,2,11,"6,0",,,3,research director,No,,53.0,419.0,21293,,11,,0,3,1,2,3,"3,0"
486,,No,1,44,1979,Married,4,Medical,travel_rarely,11.27,True,,4,3,"24,0",22,5,17,,,,3,healthcare representative,,,42.0,477.0,2094,10248.0,14,10248.0,1,2,1,4,4,"3,0"
487,"62,0",No,0,46,1977,Single,4,,,8.05,Yes,,4,4,"14,0",9,0,8,,,,2,sales executive,,,98.0,1211.0,20445,,21,,0,3,1,4,3,"3,0"
488,"199,0",No,0,41,1982,Divorced,3,Life Sciences,travel_frequently,16.09,0,,2,4,,7,7,7,,research & development,manager  -  research & development,4,manager,,"3,0",91.0,857.0,12888,,13,,1,2,4,1,2,"2,0"
489,"343,0",No,1,39,1984,Single,4,,,3.22,0,,1,0,"20,0",19,11,8,,research & development,healthcare representative  -  research & development,3,healthcare representative,No,"4,0",64.0,505.0,6420,10938.0,25,10938.0,0,3,3,3,4,"3,0"
490,"351,0",No,1,42,1981,Divorced,3,Medical,travel_rarely,3.22,True,"80,0",4,0,"10,0",9,7,8,,,,1,laboratory technician,Yes,"3,0",56.0,269.0,8007,2593.0,11,2593.0,1,2,4,1,3,"3,0"
491,"428,0",No,1,33,1990,Married,4,,travel_frequently,8.05,True,"80,0",2,6,"12,0",10,8,8,,research & development,manager  -  research & development,3,manager,,,74.0,553.0,23364,11878.0,11,11878.0,2,3,4,2,2,"3,0"
492,"464,0",No,0,35,1988,Single,4,Technical Degree,travel_rarely,8.05,1,"80,0",5,0,"17,0",16,0,13,,,,3,manufacturing director,No,"3,0",62.0,1296.0,18264,8095.0,13,8095.0,0,3,3,2,4,"3,0"
493,,Yes,0,33,1990,Married,1,Medical,travel_rarely,24.14,True,,2,7,"15,0",7,7,7,,,,3,manager,,"3,0",56.0,1277.0,24619,,12,,0,3,2,3,4,"4,0"
494,,No,1,40,1983,Single,3,Life Sciences,travel_rarely,9.66,False,,3,7,"22,0",20,5,13,,,,4,manufacturing director,No,"3,0",75.0,302.0,20364,,15,,0,3,2,3,3,"3,0"
495,"731,0",No,0,41,1982,Divorced,4,Human Resources,travel_rarely,16.09,0,,2,3,"23,0",21,12,6,,,,5,manager,No,"3,0",73.0,427.0,8861,,15,,3,2,2,4,2,"2,0"
496,"764,0",No,1,27,1996,,3,,,11.27,False,,2,8,,7,0,7,,,,2,healthcare representative,No,"3,0",55.0,975.0,23398,,19,,0,2,4,1,1,"1,0"
497,,No,0,52,1971,,4,Marketing,travel_rarely,4.83,Yes,,3,1,,34,1,16,,,,4,manager,,"3,0",31.0,621.0,10084,16856.0,11,16856.0,0,2,3,1,1,"4,0"
498,"851,0",No,1,51,1972,Married,4,Marketing,travel_rarely,41.84,False,,2,2,,20,4,17,,,,4,manager,No,"3,0",66.0,1318.0,5594,,14,,1,3,1,3,3,"2,0"
499,"903,0",No,1,47,1976,,2,Marketing,travel_rarely,3.22,Yes,,2,0,"8,0",7,7,7,,,,2,sales executive,,"4,0",35.0,249.0,17783,4537.0,22,4537.0,1,3,3,4,1,"3,0"
500,"905,0",No,0,50,1973,Divorced,4,,non-travel,3.22,False,,3,1,"31,0",31,14,7,,research & development,manager  -  research & development,4,manager,,"3,0",98.0,881.0,4544,17924.0,11,17924.0,1,3,1,1,4,"3,0"
501,"942,0",No,1,35,1988,Married,1,Life Sciences,travel_rarely,33.8,True,,2,1,"10,0",10,0,7,,research & development,healthcare representative  -  research & development,2,healthcare representative,,"4,0",51.0,1137.0,19170,4014.0,25,4014.0,1,3,4,4,4,"1,0"
502,"1026,0",No,1,39,1984,Married,1,,travel_rarely,1.61,True,,3,1,,21,11,8,,,,4,manufacturing director,No,"3,0",65.0,466.0,7060,12742.0,16,12742.0,1,2,4,4,3,"3,0"
503,,No,1,39,1984,Single,3,Medical,travel_frequently,35.41,0,,2,1,,21,2,8,,,,3,manufacturing director,,"3,0",82.0,945.0,5083,,13,,0,3,4,1,3,"3,0"
504,"1085,0",No,1,41,1982,,2,,,11.27,False,"80,0",3,1,,10,0,8,,,,1,research scientist,No,"3,0",43.0,509.0,18863,3376.0,13,3376.0,0,4,2,3,3,"3,0"
505,,Yes,0,44,1979,Married,2,Medical,,1.61,Yes,"80,0",1,9,"24,0",20,3,6,,human resources,human resources  -  human resources,3,human resources,No,,91.0,1376.0,2326,10482.0,14,10482.0,1,2,2,1,4,"3,0"
506,"1109,0",No,0,42,1981,,2,Medical,,3.22,False,,3,0,"23,0",22,13,7,,,,4,manager,No,"3,0",35.0,469.0,14399,,17,,1,3,4,1,4,"3,0"
507,"1118,0",No,0,52,1971,Single,4,Life Sciences,travel_rarely,11.27,Yes,,4,7,"18,0",8,4,0,,,,3,healthcare representative,,"3,0",87.0,994.0,15322,,19,,0,3,2,2,4,
508,"1152,0",No,0,38,1985,,3,,,1.61,1,,2,1,"7,0",7,5,0,,,,1,human resources,No,"3,0",37.0,433.0,6004,,13,,1,4,3,3,4,"4,0"
509,,No,1,46,1977,,2,Life Sciences,,1.61,True,"80,0",3,6,"10,0",7,5,7,,human resources,human resources  -  human resources,1,human resources,,"3,0",44.0,991.0,22957,,12,,0,3,4,1,3,"4,0"
510,"1350,0",No,0,35,1988,Single,4,Life Sciences,,6.44,False,,3,1,,9,1,1,,,,2,research scientist,,"3,0",87.0,482.0,2690,4249.0,11,4249.0,0,3,3,3,2,"3,0"
511,"1514,0",No,0,28,1995,Married,1,Life Sciences,travel_rarely,46.67,1,,2,1,"8,0",8,1,7,,research & development,manufacturing director  -  research & development,2,manufacturing director,,,96.0,1083.0,3173,6549.0,14,6549.0,2,1,3,2,2,"2,0"
512,"1523,0",No,0,44,1979,Married,3,Life Sciences,,45.06,1,,1,3,,20,14,17,,,,4,research director,No,"3,0",32.0,136.0,22074,,13,,1,3,4,1,3,"4,0"
513,"1539,0",No,0,50,1973,,5,,,35.41,0,,2,1,,32,13,9,,,,4,research director,,"3,0",88.0,333.0,24450,14411.0,13,14411.0,0,1,3,4,4,"3,0"
514,,No,0,55,1968,,5,Marketing,travel_rarely,37.01,1,"80,0",3,1,"36,0",36,2,13,,,,5,manager,No,"4,0",60.0,685.0,23037,19586.0,21,19586.0,1,2,3,4,3,"3,0"
515,"1588,0",No,0,39,1984,Married,3,,,9.66,True,,3,2,"11,0",7,7,6,,sales,sales executive  -  sales,3,sales executive,No,"3,0",38.0,1462.0,4658,8237.0,11,8237.0,1,4,4,3,1,"3,0"
516,"1617,0",No,1,49,1974,,4,,,20.92,True,,3,1,"10,0",9,1,4,,research & development,laboratory technician  -  research & development,1,laboratory technician,,"3,0",84.0,722.0,22102,3211.0,14,3211.0,1,3,13,1,4,"2,0"
517,"1719,0",No,1,45,1978,Single,2,Technical Degree,,45.06,False,,2,1,"21,0",21,8,6,"6,0",,,4,research director,,,48.0,,17119,16704.0,11,16704.0,0,2,4,2,3,"3,0"
518,,No,0,46,1977,,3,,,3.22,False,,5,4,,10,0,3,,,,3,sales executive,,"3,0",74.0,1277.0,5596,,12,,1,3,3,4,2,"2,0"
519,"1870,0",No,1,27,1996,Married,3,,,24.14,0,,2,0,,7,7,3,,,,1,research scientist,No,"3,0",77.0,1131.0,23844,4774.0,19,4774.0,1,2,4,1,4,
520,"2031,0",No,0,42,1981,Married,3,,travel_rarely,3.22,1,,2,5,"24,0",22,4,14,,,,5,manager,,"3,0",56.0,300.0,17312,,11,,0,3,1,3,1,"2,0"
521,"2065,0",No,0,49,1974,Married,3,,,3.22,True,"80,0",3,2,"17,0",9,0,8,,sales,sales executive  -  sales,2,sales executive,,"3,0",63.0,1023.0,13243,,14,,0,2,4,2,4,"2,0"
522,"15,0",No,1,29,1994,Single,2,Life Sciences,travel_rarely,24.14,True,,3,0,"10,0",9,0,8,,,,2,laboratory technician,Yes,"3,0",49.0,153.0,12682,,12,,0,2,4,3,4,"3,0"
523,"60,0",No,0,34,1989,,4,Marketing,non-travel,19.31,False,,2,0,,9,8,7,,,,2,sales executive,No,"4,0",72.0,1065.0,10034,4568.0,20,4568.0,0,3,12,3,3,"3,0"
524,,No,0,37,1986,Divorced,4,,,1.61,False,"80,0",2,1,,7,0,7,,,,2,manufacturing director,No,"3,0",51.0,1115.0,2689,5993.0,18,5993.0,1,2,1,3,3,
525,"85,0",No,0,36,1987,Single,3,,,17.7,True,,3,1,"6,0",6,0,3,,,,2,manufacturing director,No,"3,0",95.0,1195.0,22656,6499.0,13,6499.0,0,2,2,2,3,"3,0"
526,,No,0,45,1978,Single,3,,,46.67,1,,2,5,"9,0",6,0,3,,,,1,research scientist,,"3,0",83.0,1316.0,9752,3452.0,13,3452.0,0,3,3,4,2,"2,0"
527,"346,0",No,0,29,1994,,3,,travel_rarely,24.14,False,,1,1,"6,0",6,1,5,,,,1,research scientist,No,"3,0",60.0,665.0,22673,,19,,0,3,3,4,1,"3,0"
528,"384,0",No,1,26,1997,,3,,,1.61,False,"80,0",6,1,"6,0",6,1,4,,,,2,manufacturing director,No,"4,0",84.0,1479.0,26767,6397.0,20,6397.0,1,3,3,2,1,"1,0"
529,"498,0",No,0,28,1995,Single,4,Life Sciences,,14.48,1,,1,1,,7,0,7,,,,2,sales executive,No,"3,0",92.0,304.0,20750,,16,,0,3,2,4,4,"3,0"
530,"551,0",No,1,42,1981,Married,4,Technical Degree,travel_frequently,48.28,Yes,"80,0",4,0,"7,0",6,0,4,,,,2,healthcare representative,No,"3,0",,1368.0,4386,,11,,3,2,4,4,4,"4,0"
531,"604,0",No,0,31,1992,,1,Life Sciences,travel_rarely,3.22,True,"80,0",2,4,"10,0",6,0,5,,sales,sales executive  -  sales,2,sales executive,Yes,"3,0",77.0,828.0,8346,,13,,0,3,2,4,3,"4,0"
532,,No,1,37,1986,Single,3,,travel_rarely,75.64,Yes,,3,4,,6,1,2,,,,3,manufacturing director,,"3,0",59.0,799.0,23848,,17,,0,3,47,4,4,"4,0"
533,"626,0",No,0,37,1986,Divorced,4,,non-travel,14.48,0,,6,1,"9,0",9,7,7,,,,3,sales executive,No,"3,0",69.0,142.0,24666,,13,,1,3,1,2,4,"3,0"
534,,No,1,37,1986,Married,4,Life Sciences,travel_rarely,1.61,0,,2,6,"8,0",6,4,3,,,,2,manufacturing director,,"3,0",65.0,446.0,15701,,12,,1,3,2,2,2,"2,0"
535,,No,0,24,1999,,3,Medical,travel_rarely,37.01,1,,3,1,,6,1,4,,,,1,research scientist,,"3,0",89.0,691.0,21630,2725.0,11,2725.0,2,4,2,4,2,"3,0"
536,"644,0",No,0,50,1973,Married,3,,,4.83,False,"80,0",2,1,,32,10,7,,,,5,manager,No,"3,0",99.0,1246.0,7999,,11,,1,3,1,2,3,"3,0"
537,"649,0",No,0,34,1989,,2,Life Sciences,,1.61,True,,3,1,"6,0",6,1,3,,,,1,research scientist,Yes,"3,0",83.0,254.0,22794,3622.0,13,3622.0,1,2,2,4,4,"3,0"
538,"714,0",No,1,27,1996,,1,Medical,travel_frequently,4.83,0,"80,0",3,1,,6,0,4,,,,2,sales executive,,,71.0,1410.0,16673,,20,,2,4,4,4,2,"3,0"
539,"781,0",No,1,25,1998,Single,1,,,67.59,False,,5,1,"6,0",6,1,4,,sales,sales executive  -  sales,2,sales executive,No,"4,0",32.0,883.0,22807,6180.0,23,6180.0,0,3,42,4,2,"2,0"
540,,No,0,34,1989,Single,3,Other,,40.23,Yes,,5,1,"6,0",6,1,4,,sales,sales executive  -  sales,2,sales executive,No,"4,0",60.0,304.0,18686,6274.0,22,6274.0,0,3,4,4,3,"3,0"
541,"804,0",No,1,34,1989,,4,,,3.22,1,"80,0",3,1,"6,0",6,1,3,,research & development,research scientist  -  research & development,1,research scientist,,,86.0,121.0,7530,4381.0,11,4381.0,0,2,3,1,3,"3,0"
542,,No,0,35,1988,Single,3,Other,,11.27,False,,3,3,"17,0",8,1,6,,,,3,manufacturing director,No,"4,0",59.0,950.0,18869,,21,,0,3,3,3,2,"4,0"
543,"856,0",No,1,35,1988,,1,Medical,,25.75,0,,3,1,"6,0",6,1,1,,,,1,research scientist,,"3,0",53.0,1343.0,17852,2559.0,11,2559.0,0,2,16,1,4,"2,0"
544,"998,0",No,1,33,1990,Married,4,,,1.61,True,,2,1,,6,1,2,,research & development,healthcare representative  -  research & development,2,healthcare representative,Yes,"3,0",84.0,827.0,20161,5488.0,13,5488.0,1,4,3,2,1,"3,0"
545,"1120,0",No,1,29,1994,Divorced,4,Life Sciences,,45.06,0,,1,4,"11,0",7,1,7,,,,1,research scientist,No,"4,0",93.0,1107.0,26968,2514.0,22,2514.0,1,3,3,4,1,"3,0"
546,"1143,0",No,1,29,1994,divorced,3,,travel_frequently,16.09,1,,2,0,"8,0",7,1,1,,research & development,research scientist  -  research & development,1,research scientist,No,"3,0",61.0,490.0,17940,,14,,2,3,4,2,4,"2,0"
547,,No,1,34,1989,Married,1,Life Sciences,,14.48,0,"80,0",3,1,,6,1,3,,,,2,sales executive,,"4,0",70.0,1400.0,5829,,20,,0,3,2,3,1,"2,0"
548,,No,0,28,1995,Married,4,Medical,travel_rarely,30.58,0,,2,1,"6,0",6,3,3,,,,1,laboratory technician,,"3,0",78.0,1179.0,12449,3196.0,12,3196.0,3,2,4,1,3,"3,0"
549,,No,1,44,1979,Married,1,Life Sciences,,3.22,0,,5,1,"10,0",10,7,7,,,,1,research scientist,,"3,0",72.0,1117.0,19982,,13,,1,4,1,4,4,"3,0"
550,"1251,0",No,0,31,1992,Married,2,,travel_rarely,17.7,False,,2,1,"6,0",6,0,1,,research & development,healthcare representative  -  research & development,2,healthcare representative,Yes,,80.0,1332.0,17089,,12,,0,3,3,1,4,"2,0"
551,,No,0,26,1997,,2,Life Sciences,,6.44,0,"80,0",2,1,,8,2,2,,research & development,research scientist  -  research & development,1,research scientist,Yes,"4,0",53.0,583.0,9973,,20,,0,3,3,4,2,"2,0"
552,"1438,0",No,0,47,1976,,3,,travel_rarely,1.61,True,"80,0",2,7,"17,0",6,1,2,,,,1,research scientist,No,"3,0",74.0,465.0,10205,3420.0,12,3420.0,1,3,1,4,3,"2,0"
553,,No,0,37,1986,Single,2,,,8.05,0,,2,0,"7,0",6,1,3,,research & development,laboratory technician  -  research & development,1,laboratory technician,No,"3,0",84.0,1413.0,25470,,14,,0,4,3,3,1,"1,0"
554,"1574,0",No,0,32,1991,Married,4,,,1.61,True,,3,4,"9,0",6,1,2,,,,2,research scientist,,"3,0",,1200.0,25174,4087.0,14,4087.0,1,3,4,1,2,"2,0"
555,"1671,0",No,0,32,1991,Divorced,3,Medical,,3.22,1,,4,0,"10,0",9,1,6,,,,2,research scientist,No,"3,0",45.0,977.0,25518,,13,,2,3,4,2,3,"2,0"
556,,No,1,33,1990,,3,Life Sciences,non-travel,25.75,0,"80,0",2,1,"7,0",6,1,2,,,,2,sales executive,Yes,"4,0",36.0,530.0,16130,5368.0,25,5368.0,1,3,3,4,3,"3,0"
557,,Yes,0,47,1976,Married,3,,,14.48,Yes,,3,7,"25,0",23,14,10,,sales,sales executive  -  sales,4,sales executive,No,,82.0,1093.0,24164,12936.0,11,12936.0,0,1,3,3,3,"1,0"
558,,Yes,1,41,1982,,2,,,1.61,0,,0,8,"8,0",6,0,5,,,,2,sales executive,Yes,"3,0",94.0,1102.0,19479,,11,,0,3,2,4,1,"1,0"
559,,No,0,35,1988,Married,3,Medical,travel_rarely,25.75,0,,5,0,"6,0",5,0,3,,research & development,laboratory technician  -  research & development,1,laboratory technician,,"3,0",84.0,809.0,16479,,13,,1,4,1,2,3,"3,0"
560,"94,0",No,0,29,1994,Married,3,Life Sciences,travel_rarely,3.22,False,,3,0,,5,0,4,,,,1,research scientist,No,"4,0",76.0,1328.0,4956,,23,,1,3,3,2,4,"3,0"
561,,No,0,32,1991,,3,Life Sciences,travel_rarely,1.61,1,"80,0",3,1,"10,0",10,0,9,,,,2,research scientist,No,"3,0",66.0,548.0,7346,,17,,2,3,2,2,2,"3,0"
562,,No,0,35,1988,Single,3,Medical,travel_rarely,1.61,False,,3,1,"6,0",6,0,4,,,,1,research scientist,No,"3,0",30.0,1214.0,26278,,18,,0,2,2,3,1,"3,0"
563,"112,0",No,0,56,1967,,3,,,20.92,1,,3,4,"37,0",6,0,2,,,,3,manufacturing director,No,"3,0",,,21698,,11,,0,1,4,4,1,"2,0"
564,"129,0",No,0,28,1995,,3,Medical,,6.44,Yes,"80,0",3,1,"5,0",5,0,4,,,,2,sales executive,,"3,0",43.0,120.0,8863,4221.0,15,4221.0,0,3,2,3,2,"4,0"
565,"142,0",Yes,0,25,1998,Single,3,,travel_rarely,8.05,Yes,,1,1,,6,0,3,,,,2,sales executive,Yes,"3,0",46.0,240.0,26959,,11,,0,2,3,3,4,"3,0"
566,"161,0",Yes,1,56,1967,,4,Life Sciences,,22.53,Yes,,2,9,"7,0",5,4,3,,,,1,research scientist,,"3,0",72.0,441.0,4510,4963.0,18,4963.0,3,3,2,2,1,"3,0"
567,"164,0",No,1,26,1997,Married,3,,,9.66,False,,3,1,"5,0",5,4,3,,research & development,research scientist  -  research & development,1,research scientist,,"3,0",46.0,841.0,23300,,19,,0,2,3,2,3,"2,0"
568,"190,0",Yes,1,32,1991,,3,Medical,,14.48,False,"80,0",2,7,,5,0,4,,,,1,laboratory technician,No,"4,0",41.0,1033.0,10224,4200.0,22,4200.0,0,3,1,1,1,"4,0"
569,"194,0",No,1,30,1993,Single,3,Life Sciences,travel_rarely,28.97,True,"80,0",4,1,,5,0,4,,,,1,research scientist,No,"3,0",75.0,,23910,,14,,0,3,1,3,3,"2,0"
570,"226,0",No,1,50,1973,,3,,travel_rarely,17.7,0,,5,3,,5,4,4,,,,5,manager,,"3,0",53.0,1452.0,17053,,15,,0,3,3,2,2,"3,0"
571,"231,0",No,0,32,1991,,5,Life Sciences,,9.66,False,,2,3,"8,0",5,1,4,,,,1,research scientist,No,"4,0",43.0,120.0,12430,,20,,0,3,3,3,1,
